comment,date,content_id,platform
超出预期,2024-01-18,13,小红书
客服很耐心,2024-01-24,28,微博
太棒了，非常喜欢！,2024-01-28,63,小红书
一般般吧,2024-01-02,90,小红书
完全不值,2024-01-27,11,抖音
完全不值,2024-01-30,50,微博
完全不值,2024-01-19,68,抖音
平平无奇,2024-01-17,80,微信
态度太差了,2024-01-28,7,抖音
非常满意,2024-01-04,100,小红书
失望透顶,2024-01-14,80,小红书
超级好用，推荐！,2024-01-06,87,抖音
超出预期,2024-01-26,4,小红书
物流很快,2024-01-18,75,微信
完全不值,2024-01-11,81,微信
质量很差，失望,2024-01-05,98,微博
还不错,2024-01-19,20,抖音
用了一次就坏了,2024-01-28,9,微信
平平无奇,2024-01-02,2,微博
包装精美,2024-01-20,1,微信
物流很快,2024-01-21,63,微博
完全不值,2024-01-27,7,抖音
质量很差，失望,2024-01-13,36,小红书
还不错,2024-01-30,1,微信
很好的体验,2024-01-26,8,微信
会回购的,2024-01-08,94,抖音
还不错,2024-01-17,69,微博
非常满意,2024-01-06,7,微博
还不错,2024-01-18,76,抖音
超级好用，推荐！,2024-01-01,60,微博
包装精美,2024-01-04,32,微博
完全不值,2024-01-01,42,抖音
超出预期,2024-01-20,41,抖音
包装精美,2024-01-05,87,小红书
会回购的,2024-01-15,48,微信
客服很耐心,2024-01-22,94,抖音
一般般吧,2024-01-02,90,抖音
物流很快,2024-01-02,36,抖音
不要买,2024-01-01,12,抖音
非常满意,2024-01-16,89,小红书
超级好用，推荐！,2024-01-14,9,小红书
太棒了，非常喜欢！,2024-01-09,75,抖音
包装精美,2024-01-07,25,微博
一般般吧,2024-01-28,10,微信
还不错,2024-01-28,83,微信
非常满意,2024-01-24,51,微博
平平无奇,2024-01-08,62,抖音
物流很快,2024-01-12,49,微博
完全不值,2024-01-19,45,抖音
不要买,2024-01-26,30,小红书
平平无奇,2024-01-26,69,微博
物流很快,2024-01-28,49,抖音
超出预期,2024-01-06,19,小红书
性价比很高,2024-01-30,57,微博
超级好用，推荐！,2024-01-28,39,微信
失望透顶,2024-01-02,68,抖音
态度太差了,2024-01-03,57,小红书
用了一次就坏了,2024-01-18,77,小红书
超级好用，推荐！,2024-01-03,79,微博
平平无奇,2024-01-30,88,小红书
不要买,2024-01-08,37,抖音
强烈推荐,2024-01-08,78,抖音
态度太差了,2024-01-29,31,微博
客服很耐心,2024-01-15,32,小红书
太棒了，非常喜欢！,2024-01-26,37,微信
失望透顶,2024-01-13,86,小红书
太棒了，非常喜欢！,2024-01-22,38,微信
用了一次就坏了,2024-01-03,49,微博
质量很差，失望,2024-01-12,98,小红书
还不错,2024-01-06,2,微博
用了一次就坏了,2024-01-28,89,抖音
超出预期,2024-01-17,69,抖音
平平无奇,2024-01-03,19,微博
平平无奇,2024-01-22,5,小红书
超级好用，推荐！,2024-01-26,23,微信
太棒了，非常喜欢！,2024-01-11,92,抖音
用了一次就坏了,2024-01-23,27,抖音
很好的体验,2024-01-08,56,小红书
超级好用，推荐！,2024-01-02,42,小红书
完全不值,2024-01-29,93,微信
客服很耐心,2024-01-05,41,微博
很好的体验,2024-01-03,95,微信
失望透顶,2024-01-10,22,微博
失望透顶,2024-01-20,88,微博
平平无奇,2024-01-25,94,小红书
态度太差了,2024-01-19,85,微信
会回购的,2024-01-06,22,微博
完全不值,2024-01-25,37,抖音
完全不值,2024-01-21,29,微博
态度太差了,2024-01-13,64,微信
一般般吧,2024-01-06,51,微信
还不错,2024-01-23,10,微博
平平无奇,2024-01-09,18,微信
客服很耐心,2024-01-14,94,微博
物流很快,2024-01-28,38,微博
超级好用，推荐！,2024-01-26,74,微博
质量很差，失望,2024-01-18,51,抖音
强烈推荐,2024-01-02,87,微博
超出预期,2024-01-07,21,微博
平平无奇,2024-01-24,63,微信
超级好用，推荐！,2024-01-21,4,小红书
还不错,2024-01-23,10,微信
态度太差了,2024-01-21,40,抖音
性价比很高,2024-01-12,78,微博
完全不值,2024-01-23,91,微信
一般般吧,2024-01-04,93,微信
超出预期,2024-01-01,65,微博
一般般吧,2024-01-08,72,微博
性价比很高,2024-01-16,64,微信
一般般吧,2024-01-10,79,微博
不要买,2024-01-20,43,微信
太棒了，非常喜欢！,2024-01-09,1,微信
态度太差了,2024-01-30,7,小红书
用了一次就坏了,2024-01-18,80,微信
不要买,2024-01-12,26,抖音
超出预期,2024-01-19,3,微博
性价比很高,2024-01-27,97,抖音
性价比很高,2024-01-16,17,微博
太棒了，非常喜欢！,2024-01-18,52,微博
用了一次就坏了,2024-01-07,61,小红书
太棒了，非常喜欢！,2024-01-23,77,小红书
超级好用，推荐！,2024-01-02,9,微博
物流很快,2024-01-22,74,抖音
太棒了，非常喜欢！,2024-01-24,64,微信
超出预期,2024-01-14,54,微博
太棒了，非常喜欢！,2024-01-20,15,微博
态度太差了,2024-01-13,61,微信
很好的体验,2024-01-06,96,小红书
用了一次就坏了,2024-01-25,98,抖音
质量很差，失望,2024-01-23,16,抖音
质量很差，失望,2024-01-30,35,抖音
不要买,2024-01-08,55,抖音
强烈推荐,2024-01-10,33,微信
强烈推荐,2024-01-14,61,抖音
质量很差，失望,2024-01-16,6,微信
包装精美,2024-01-18,46,小红书
包装精美,2024-01-01,29,微博
不要买,2024-01-28,45,微博
强烈推荐,2024-01-28,23,小红书
很好的体验,2024-01-30,13,微信
很好的体验,2024-01-01,63,微信
性价比很高,2024-01-15,18,抖音
超出预期,2024-01-25,9,抖音
性价比很高,2024-01-29,24,小红书
超级好用，推荐！,2024-01-14,83,微信
超级好用，推荐！,2024-01-12,81,微博
物流很快,2024-01-20,8,微信
强烈推荐,2024-01-09,56,微博
还不错,2024-01-27,11,抖音
态度太差了,2024-01-21,14,微信
失望透顶,2024-01-07,62,小红书
失望透顶,2024-01-23,2,微博
不要买,2024-01-10,38,抖音
超出预期,2024-01-08,78,抖音
太棒了，非常喜欢！,2024-01-05,5,微信
不要买,2024-01-17,24,小红书
很好的体验,2024-01-28,56,小红书
客服很耐心,2024-01-06,36,微信
非常满意,2024-01-21,51,抖音
一般般吧,2024-01-24,97,抖音
质量很差，失望,2024-01-14,24,微信
用了一次就坏了,2024-01-10,23,小红书
性价比很高,2024-01-24,56,小红书
还不错,2024-01-09,53,微信
平平无奇,2024-01-09,23,微博
客服很耐心,2024-01-20,69,微博
不要买,2024-01-10,69,微信
不要买,2024-01-19,4,微信
一般般吧,2024-01-24,66,小红书
平平无奇,2024-01-14,49,抖音
物流很快,2024-01-26,16,小红书
用了一次就坏了,2024-01-07,84,抖音
物流很快,2024-01-18,20,微博
失望透顶,2024-01-20,32,抖音
客服很耐心,2024-01-17,49,微博
强烈推荐,2024-01-02,42,小红书
非常满意,2024-01-01,81,微信
不要买,2024-01-02,3,微信
性价比很高,2024-01-17,19,微博
一般般吧,2024-01-12,60,微信
质量很差，失望,2024-01-23,64,微博
超级好用，推荐！,2024-01-17,90,抖音
平平无奇,2024-01-18,10,微信
太棒了，非常喜欢！,2024-01-25,96,微博
非常满意,2024-01-10,75,微博
一般般吧,2024-01-18,67,微博
客服很耐心,2024-01-28,32,微信
包装精美,2024-01-12,70,微信
态度太差了,2024-01-13,64,抖音
超出预期,2024-01-01,96,小红书
态度太差了,2024-01-05,91,微博
一般般吧,2024-01-30,10,小红书
太棒了，非常喜欢！,2024-01-03,51,抖音
超出预期,2024-01-08,75,微信
强烈推荐,2024-01-07,78,微信
强烈推荐,2024-01-06,46,微信
还不错,2024-01-06,41,微信
强烈推荐,2024-01-12,22,抖音
完全不值,2024-01-03,71,小红书
超出预期,2024-01-22,87,抖音
