content_id,title,platform,reads,likes,comments,shares,publish_time,content_type,keywords
1,精彩1分享,微博,57276,2468,247,179,2024-01-01 00:00:00,直播,生活，日常
2,精彩2分享,微信,37388,8819,689,186,2024-01-01 02:00:00,直播,生活，日常
3,精彩3分享,微信,37761,2445,674,349,2024-01-01 04:00:00,图文,"科技,AI"
4,精彩4分享,小红书,34461,9609,485,307,2024-01-01 06:00:00,图文,旅行，风景
5,精彩5分享,抖音,76407,2549,165,227,2024-01-01 08:00:00,直播,"科技,AI"
6,精彩6分享,微博,31512,5559,477,261,2024-01-01 10:00:00,图文,旅行，风景
7,精彩7分享,微博,62591,8713,288,167,2024-01-01 12:00:00,直播,"科技,AI"
8,精彩8分享,小红书,47456,4856,645,164,2024-01-01 14:00:00,直播,生活，日常
9,精彩9分享,小红书,13737,1480,77,488,2024-01-01 16:00:00,图文,"科技,AI"
10,精彩10分享,小红书,66986,2207,77,55,2024-01-01 18:00:00,图文,生活，日常
11,精彩11分享,微信,63625,7299,717,383,2024-01-01 20:00:00,视频,"科技,AI"
12,精彩12分享,微信,66175,6766,40,179,2024-01-01 22:00:00,直播,生活，日常
13,精彩13分享,小红书,64539,6281,500,222,2024-01-02 00:00:00,视频,生活，日常
14,精彩14分享,小红书,6775,7479,620,237,2024-01-02 02:00:00,图文,"科技,AI"
15,精彩15分享,小红书,43503,6397,164,411,2024-01-02 04:00:00,视频,"科技,AI"
16,精彩16分享,微博,47602,7918,561,288,2024-01-02 06:00:00,视频,生活，日常
17,精彩17分享,抖音,68080,9375,578,440,2024-01-02 08:00:00,视频,"科技,AI"
18,精彩18分享,微信,26746,1353,762,117,2024-01-02 10:00:00,直播,"科技,AI"
19,精彩19分享,抖音,5028,6194,343,237,2024-01-02 12:00:00,图文,旅行，风景
20,精彩20分享,抖音,79133,6886,127,225,2024-01-02 14:00:00,视频,"科技,AI"
21,精彩21分享,小红书,85619,5104,331,407,2024-01-02 16:00:00,直播,旅行，风景
22,精彩22分享,小红书,25376,5235,388,466,2024-01-02 18:00:00,图文,美食，探店
23,精彩23分享,微博,60938,7120,489,288,2024-01-02 20:00:00,图文,"科技,AI"
24,精彩24分享,小红书,2437,1756,684,264,2024-01-02 22:00:00,视频,生活，日常
25,精彩25分享,微博,52690,2779,964,164,2024-01-03 00:00:00,直播,美食，探店
26,精彩26分享,微信,64393,7293,405,206,2024-01-03 02:00:00,直播,"科技,AI"
27,精彩27分享,抖音,4793,5362,291,387,2024-01-03 04:00:00,直播,旅行，风景
28,精彩28分享,微信,10777,400,660,146,2024-01-03 06:00:00,直播,生活，日常
29,精彩29分享,小红书,62933,8672,490,427,2024-01-03 08:00:00,直播,生活，日常
30,精彩30分享,抖音,3386,4822,388,278,2024-01-03 10:00:00,图文,生活，日常
31,精彩31分享,微博,22518,3492,35,292,2024-01-03 12:00:00,图文,美食，探店
32,精彩32分享,微信,65143,3234,798,274,2024-01-03 14:00:00,直播,生活，日常
33,精彩33分享,抖音,42402,1103,718,359,2024-01-03 16:00:00,直播,生活，日常
34,精彩34分享,微博,94607,256,400,412,2024-01-03 18:00:00,视频,"科技,AI"
